X 6
Y 5
WALL 0 0
WALL 0 1
WALL 0 2
WALL 0 3
WALL 0 4
WALL 0 5
WALL 0 6
WALL 0 7
WALL 0 8
WALL 0 9
WALL 1 0
WALL 1 9
WALL 2 0
WALL 2 1
WALL 2 2
WALL 2 3
WALL 2 4
WALL 2 5
WALL 2 7
WALL 2 8
WALL 2 9
WALL 3 0
WALL 3 4
WALL 3 9
WALL 4 0
WALL 4 2
WALL 4 4
WALL 4 6
WALL 4 7
WALL 4 8
WALL 4 9
WALL 5 0
WALL 5 2
WALL 5 4
WALL 5 7
WALL 5 9
WALL 6 0
WALL 6 2
WALL 6 7
WALL 6 9
WALL 7 0
WALL 7 2
WALL 7 3
WALL 7 4
WALL 7 5
WALL 7 6
WALL 7 7
WALL 7 9
WALL 8 0
WALL 8 9
WALL 9 0
WALL 9 1
WALL 9 2
WALL 9 3
WALL 9 4
WALL 9 5
WALL 9 6
WALL 9 7
WALL 9 8
WALL 9 9
